period,series,value
2005,USA,856.5
2006,USA,868.8
2007,USA,892
2008,USA,956.9
2009,USA,1032.2
2010,USA,1061.7
2011,USA,1049.1
2012,USA,990.8
2013,USA,914.6
2014,USA,858.4
2015,USA,838.9
2016,USA,836.3
2017,USA,827.7
2018,USA,852.6
2019,USA,901
2020,USA,943.4
2021,USA,933.3
2022,USA,922.6
2023,USA,943
2024,USA,1004.9
2025,USA,929.2
