"Mean performance in reading"
"PISA score points"
"Category","France","United Kingdom","France","United Kingdom"
"2006",488,495,488,
"2009",496,494,496,
"2012",505,499,505,
"2015",499,498,499,
"2018",493,504,493,504
"2022",474,494,474,
"2025",456,494,,
