"Mean performance in reading"
"PISA score points"
"Category","France","Italy","France","Italy"
"2006",488,469,488,
"2009",496,486,496,486
"2012",505,490,505,490
"2015",499,485,499,485
"2018",493,476,493,
"2022",474,482,474,
"2025",456,474,,
