"Mean performance in mathematics"
"PISA score points"
"Category","France","Germany","France","Germany"
"2006",496,504,496,504
"2009",497,513,497,513
"2012",495,514,495,514
"2015",493,506,493,506
"2018",495,500,495,500
"2022",474,475,474,475
"2025",458,464,,
